id,party,census_block,dem_partisan_score,state,census_tract,x,y
3248995604,Democrat,37035010302,99.1,37,37035010302,926480.7073271764,-517013.1754506773
149617265,Democrat,37081011602,98.6,37,37081011602,1055736.416406782,-479130.2127609864
2869494718,Democrat,37181960200,74.1,37,37181960200,1178442.5170684187,-423003.36577612977
1271788109,Democrat,37067001000,91.7,37,37067001000,1017686.5167125256,-478817.772628215
1974170698,Democrat,37057060203,98.8,37,37057060203,1021940.0771798884,-492969.6362163054
504962484,Republican,37057060203,0.5,37,37057060203,1021940.0771798884,-492969.6362163054
3879401456,Republican,37081015703,6.7,37,37081015703,1058050.232034645,-470054.48018381617
2309966314,Democrat,37081015703,96.9,37,37081015703,1058050.232034645,-470054.48018381617
2971043993,Democrat,37119001510,96.0,37,37119001510,979892.29992992,-572439.9346669065
2747664821,Republican,37057061802,8.8,37,37057061802,1025141.4247935041,-516792.8062533425
1284561740,Democrat,37097060902,92.1,37,37097060902,958077.1288801185,-499242.5482357111
3314421965,Democrat,37081015800,94.0,37,37081015800,1049743.9021868887,-463025.66829252953
1613700736,Democrat,37119003015,96.2,37,37119003015,979134.6788808235,-587211.5239392915
1639755470,Republican,37027030500,0.5,37,37027030500,906929.0863821238,-502874.7304615251
443828542,Republican,37105030602,15.5,37,37105030602,1110787.4894304343,-542018.9349089286
3920596529,Democrat,37105030602,98.3,37,37105030602,1110787.4894304343,-542018.9349089286
1366906363,Republican,37151030100,3.4,37,37151030100,1060219.1381518135,-521005.3398144754
2113653832,Democrat,37151030100,96.2,37,37151030100,1060219.1381518135,-521005.3398144754
3900134224,Democrat,37097061407,97.6,37,37097061407,969070.3888306705,-543472.1384326261
130651134,Republican,37031970501,46.6,37,37031970501,1342791.0922189385,-600172.0683465115
2248662628,Democrat,37063001502,94.0,37,37063001502,1136603.415656278,-478010.1478723865
604664985,Republican,37119003600,4.4,37,37119003600,968636.0969799364,-577634.3713346347
1709443659,Republican,37119003600,10.5,37,37119003600,968636.0969799364,-577634.3713346347
2103165421,Republican,37119003600,16.6,37,37119003600,968636.0969799364,-577634.3713346347
3372980372,Democrat,37119003600,67.9,37,37119003600,968636.0969799364,-577634.3713346347
3148514642,Democrat,37119003600,83.6,37,37119003600,968636.0969799364,-577634.3713346347
2074058733,Democrat,37119003600,99.3,37,37119003600,968636.0969799364,-577634.3713346347
1784438186,Republican,37151030400,0.9,37,37151030400,1060482.1895131068,-513280.69855757937
559318056,Republican,37101041002,23.0,37,37101041002,1182299.9825063746,-511905.7745312861
3123202066,Republican,37101041002,34.55,37,37101041002,1182299.9825063746,-511905.7745312861
3995887898,Republican,37101041002,46.1,37,37101041002,1182299.9825063746,-511905.7745312861
3039812204,Democrat,37101041002,99.4,37,37101041002,1182299.9825063746,-511905.7745312861
4206378646,Democrat,37099950600,85.9,37,37099950600,758042.2375200241,-582566.633175756
2662529964,Democrat,37099950600,90.7,37,37099950600,758042.2375200241,-582566.633175756
1549005290,Democrat,37099950600,95.5,37,37099950600,758042.2375200241,-582566.633175756
3205416833,Republican,37051000702,1.1,37,37051000702,1148216.9258303805,-584028.6234518072
3701522373,Republican,37127010502,0.8,37,37127010502,1237625.5591007124,-474077.1472038812
3848169641,Democrat,37127010502,80.3,37,37127010502,1237625.5591007124,-474077.1472038812
2426902450,Democrat,37051001500,98.4,37,37051001500,1152172.4494844172,-590776.9333840616
1879605481,Democrat,37129010400,95.0,37,37129010400,1246965.785993692,-667116.2001374306
3906209714,Democrat,37057060102,95.7,37,37057060102,1031365.0227502356,-487607.5621600609
3881834721,Democrat,37183052808,97.4,37,37183052808,1171703.7477258516,-513295.5467072767
1059344405,Republican,37183052808,28.7,37,37183052808,1171703.7477258516,-513295.5467072767
560288206,Democrat,37157041200,84.6,37,37157041200,1068400.7014334064,-442936.2579537368
3340387676,Republican,37183053707,19.0,37,37183053707,1163594.4692281354,-490655.08248842077
2524096249,Democrat,37183053707,99.2,37,37183053707,1163594.4692281354,-490655.08248842077
1921975208,Republican,37119000600,2.1,37,37119000600,972223.5813274195,-576436.1003239595
1936525398,Republican,37119000600,5.200000000000001,37,37119000600,972223.5813274195,-576436.1003239595
2489867601,Republican,37119000600,8.3,37,37119000600,972223.5813274195,-576436.1003239595
1921585882,Democrat,37051001603,93.7,37,37051001603,1146766.5545409443,-590063.8111810534
3367777583,Republican,37021003204,35.4,37,37021003204,830871.5164778369,-550619.6482619551
1604887349,Republican,37127010601,2.0,37,37127010601,1238696.6282450024,-471122.8081313421
139118415,Democrat,37127010601,91.7,37,37127010601,1238696.6282450024,-471122.8081313421
916182290,Republican,37183053413,3.6,37,37183053413,1140645.724917573,-512714.7951584362
451417496,Republican,37183053413,11.0,37,37183053413,1140645.724917573,-512714.7951584362
3212567095,Republican,37183053413,18.4,37,37183053413,1140645.724917573,-512714.7951584362
2034109140,Democrat,37183053413,99.1,37,37183053413,1140645.724917573,-512714.7951584362
3021643300,Democrat,37183053408,99.3,37,37183053408,1146596.0455610629,-502694.08835851616
436179476,Republican,37089930800,8.5,37,37089930800,819508.9722164078,-567592.4677364603
969421391,Republican,37035010202,30.9,37,37035010202,932965.9303240434,-521742.36806784093
159120910,Democrat,37035010202,96.9,37,37035010202,932965.9303240434,-521742.36806784093
142973945,Democrat,37065021300,98.5,37,37065021300,1256058.8427289044,-482423.1219605684
2512790541,Democrat,37183053415,98.8,37,37183053415,1144710.538008577,-506679.6132139422
2807577302,Republican,37183053415,42.5,37,37183053415,1144710.538008577,-506679.6132139422
4061297625,Republican,37135010901,0.4,37,37135010901,1128478.2161328495,-469253.53512103343
1088396340,Democrat,37135010901,95.3,37,37135010901,1128478.2161328495,-469253.53512103343
1822787256,Republican,37033930600,0.8,37,37033930600,1107450.207734552,-445146.1079289111
670063240,Democrat,37033930600,89.0,37,37033930600,1107450.207734552,-445146.1079289111
1817815788,Republican,37067004015,0.5,37,37067004015,1008933.8674552777,-488373.7329474211
3798485834,Democrat,37129010700,95.1,37,37129010700,1245746.3092346229,-670688.7104755167
1391336868,Democrat,37093970202,98.8,37,37093970202,1113042.3867252215,-599368.8422060496
2368102887,Republican,37081014000,43.0,37,37081014000,1040263.5816307842,-491766.30171331536
4138275865,Democrat,37021002505,96.6,37,37021002505,803835.2792033663,-546617.8542600468
3734719220,Democrat,37147000302,98.2,37,37147000302,1286370.337783253,-512157.5372123678
4240333175,Republican,37069060801,2.2,37,37069060801,1199888.347206001,-479865.1500288046
2414421179,Republican,37119005706,0.4,37,37119005706,988342.955998948,-578556.1683826689
4172108827,Republican,37159051201,8.0,37,37159051201,994099.7278831736,-530683.653731563
982935195,Republican,37147001900,0.9,37,37147001900,1262685.5019399351,-504661.3106407682
758787763,Democrat,37061090701,89.7,37,37061090701,1241526.8573927295,-602845.7092811235
526509721,Republican,37037020701,0.4,37,37037020701,1136339.866869508,-497928.2371750418
1931795507,Republican,37037020701,0.7,37,37037020701,1136339.866869508,-497928.2371750418
1575043565,Republican,37037020701,3.8,37,37037020701,1136339.866869508,-497928.2371750418
2707242164,Republican,37105030101,26.5,37,37105030101,1118967.7178305034,-538296.0378881837
3925975478,Democrat,37085071301,86.3,37,37085071301,1133623.8785009484,-550572.9087700603
3728326086,Democrat,37139960502,94.4,37,37139960502,1372639.9753574338,-420250.52207591897
1441171651,Democrat,37045950500,72.5,37,37045950500,925248.5945586136,-578718.2121774856
395124193,Republican,37037020600,14.4,37,37037020600,1110130.253398464,-524637.8911116088
4195644831,Democrat,37063002024,64.0,37,37063002024,1138600.8605581957,-486377.752020219
2277282775,Republican,37097060100,0.3,37,37097060100,964757.5214422706,-513641.8369562578
1610470626,Democrat,37119001608,90.7,37,37119001608,978609.269114692,-574876.8118133956
2288625789,Democrat,37051001601,72.6,37,37051001601,1145623.3883841052,-592819.5153186441
3285648792,Republican,37081015500,33.4,37,37081015500,1063233.0995706369,-465805.5389500925
3499419718,Democrat,37081015500,97.7,37,37081015500,1063233.0995706369,-465805.5389500925
1396815825,Democrat,37081016503,95.1,37,37081016503,1050376.183071614,-480001.09353985783
