census_FIP,race,dem_partisan_score,party,education,income
18053010100,Caucasian,3.57254288833467,1,17.375163017412373,
48157673901,Caucasian,52.1003967786241,0,80.21081273662288,176.371234647127
53061052903,Caucasian,98.9830857873374,0,54.78258559749603,20.28459104532006
12103026002,Caucasian,-0.9917340775830521,1,73.35999341405405,
6037237402,Hispanic,99.76638593433074,0,67.40258815562655,58.78010252868019
13097080102,African-American,97.32670735413495,0,62.886151820872115,124.64388097638188
42069111800,Caucasian,75.63652024447859,0,35.573793388571424,
6111007513,Caucasian,22.166874028429845,1,82.01652589679398,50.625894616910315
36027070101,Caucasian,98.64936178048403,0,72.34523483325793,51.80474373287348
6077005109,Caucasian,93.08919588360094,0,75.57991611187992,23.509823958598123
26049000500,African-American,98.41576098928161,0,21.74637149438035,92.03619791738348
6115040400,Caucasian,97.54926769199038,0,21.83215129027065,133.5619435777738
12019030902,Caucasian,14.711885515556416,1,34.55888835858903,
1097006405,African-American,79.03160148592048,0,71.91519344506307,351.6104505441405
48339693300,Caucasian,91.79467526570677,0,39.474666291794,
32003005809,Hispanic,66.55263752339603,0,55.272507248069104,
39113040303,Caucasian,14.220162577372585,1,88.01964713931311,176.05214883670828
5007020902,Caucasian,27.21904594168042,1,31.720995596452116,
8029964900,Caucasian,105.12352257331182,0,28.772688916471648,61.98261860538102
33015058000,Caucasian,9.503544404472727,1,49.07403705260606,
41041950400,Caucasian,101.15199645771139,0,26.493105422267423,
4013071516,Caucasian,5.311582232195414,1,44.16358882636617,12.111095801652269
55015020304,Caucasian,41.9806310180102,1,25.39573580278428,171.44755168718487
42045406801,Caucasian,68.33288566494397,0,77.88356818152822,72.38166132618908
6037554515,Uncoded,5.430372395522898,1,65.11206612797298,
13217100400,Caucasian,8.599050820447655,1,39.866318110453996,
13223120602,Caucasian,49.83884053716306,0,20.602039922695173,108.18822247502749
6013302005,Hispanic,38.74849930380989,1,33.92499504789035,76.18773116442296
13121010304,African-American,97.56510041280188,0,58.52270760480047,84.22008775682899
18003000701,Caucasian,98.323402989171,0,14.488393099338346,24.60836473080893
53063002900,Caucasian,64.15329479959074,0,49.54492154548646,
6087122001,Caucasian,9.846858245886388,1,61.70240706231388,63.502840212819386
37101040902,Caucasian,-5.216965893980868,1,62.12619190012098,-9.181302278342418
20147475100,Caucasian,-2.8843090211968727,1,40.614415216874406,29.910936703470178
6031000900,Uncoded,98.4630068339374,0,54.074462927817656,
12101032008,Hispanic,91.94063265114305,0,37.14005158578015,
